district_id,event_index,event_volume,mean_intensity,max_intensity,duration,peak_anomaly,rise_gradient,decay_gradient,rcvr,rainfall_type,rainfall_type_name
1009006,103,26.412100000000002,8.804033333333335,16.1688,3,292.8374,5.8855,6.258400000000001,3.0,3,Type 3
1009006,104,36.9815,18.49075,20.2212,2,207.6847,7.593900000000001,9.339299999999998,2.0,2,Type 2
1009006,105,99.6404,49.8202,60.7245,2,344.9812,9.347350000000006,18.361949999999993,2.0,1,Type 1
1009006,106,47.0507,23.52535,41.0775,2,275.1969,1.7474500000000006,0.6798000000000002,2.0,2,Type 2
1009006,107,5.2475,5.2475,5.2475,1,104.9716,0.0,0.0,1.0,0,Type 0
1009006,108,28.679199999999998,9.559733333333332,18.2826,3,189.0167,6.942766666666667,7.1296,3.0,3,Type 3
1009006,109,91.4425,18.2885,33.3709,5,201.4049,-3.7241600000000004,10.426599999999999,5.0,4,Type 4
1009006,110,11.3703,11.3703,11.3703,1,227.3955,0.0,0.0,1.0,0,Type 0
1009006,111,6.5558,6.5558,6.5558,1,160.0314,0.0,0.0,1.0,0,Type 0
1009006,112,7.6583,7.6583,7.6583,1,175.1085,0.0,0.0,1.0,0,Type 0
1009006,113,5.6929,5.6929,5.6929,1,86.8088,0.0,0.0,1.0,0,Type 0
1009006,114,117.5009,19.583483333333334,31.6661,6,218.9873,7.722433333333332,15.155149999999999,6.0,5,Type 5
1009006,115,12.6119,6.30595,7.1527,2,197.4449,-3.47405,2.0285999999999973,2.0,2,Type 2
1009006,116,13.1938,13.1938,13.1938,1,248.85,0.0,0.0,1.0,0,Type 0
1009006,117,5.9386,5.9386,5.9386,1,151.4844,0.0,0.0,1.0,0,Type 0
1009006,118,155.9809,17.33121111111111,28.1777,9,221.3789,3.189222222222222,13.54362222222222,9.0,5,Type 5
1009006,119,5.5701,5.5701,5.5701,1,144.5746,0.0,0.0,1.0,0,Type 0
1009006,120,7.7627,7.7627,7.7627,1,184.864,0.0,0.0,1.0,0,Type 0
1009006,121,19.4347,9.71735,11.3011,2,199.2585,2.6136,3.284700000000001,2.0,2,Type 2
1009006,122,51.4627,17.154233333333334,25.9457,3,162.431,5.978533333333334,5.303100000000001,3.0,4,Type 4
1009006,123,54.5951,13.648775,29.0191,4,348.4799,6.762525,6.918749999999999,4.0,3,Type 3
1009006,124,9.13,9.13,9.13,1,205.1655,0.0,0.0,1.0,0,Type 0
1009006,125,352.0943,44.0117875,93.1061,8,408.475,11.3528625,40.793974999999996,8.0,1,Type 1
1009006,126,6.4341,6.4341,6.4341,1,156.3927,0.0,0.0,1.0,0,Type 0
1009006,127,6.0072,6.0072,6.0072,1,152.434,0.0,0.0,1.0,0,Type 0
1009006,128,44.1944,14.731466666666668,21.7066,3,358.557,11.070966666666669,12.066566666666665,3.0,3,Type 3
1009006,129,135.4186,33.85465,84.5104,4,355.0215,20.076324999999997,26.131349999999998,4.0,4,Type 4
1009006,130,14.0573,7.02865,7.5999,2,75.2525,-38.4553,-7.0534000000000106,2.0,4,Type 4
1009006,131,12.6983,6.34915,7.65,2,133.6666,-1.2758000000000003,-6.250450000000001,2.0,2,Type 2
1009006,132,6.4592,6.4592,6.4592,1,158.6936,0.0,0.0,1.0,0,Type 0
1009006,133,5.6446,5.6446,5.6446,1,130.1153,0.0,0.0,1.0,0,Type 0
1009006,134,75.9708,18.9927,39.0239,4,174.61,12.543675,14.228075,4.0,4,Type 4
1009007,0,10.3772,10.3772,10.3772,1,135.7701,0.0,0.0,1.0,0,Type 0
1009007,1,43.9161,21.95805,22.6347,2,193.8718,6.12875,,2.0,2,Type 2
1009007,2,90.7965,22.699125,47.3593,4,249.831,10.390699999999999,,4.0,4,Type 4
1009007,3,17.2635,8.63175,9.1737,2,117.8056,3.041950000000001,-7.272449999999992,2.0,2,Type 2
1009007,4,235.55080000000004,23.555080000000004,79.9401,10,237.5304,0.5574899999999999,19.00779,10.0,5,Type 5
1009007,5,11.9342,5.9671,6.6168,2,114.3508,2.6167499999999997,2.12875,2.0,2,Type 2
1009007,6,127.20949999999999,18.172785714285713,35.9281,7,195.2876,7.805814285714285,14.334485714285716,7.0,5,Type 5
1009007,7,16.209600000000002,8.104800000000001,8.6347,2,122.7096,2.856299999999999,1.5449000000000055,2.0,2,Type 2
1009007,8,12.8263,12.8263,12.8263,1,198.6565,0.0,0.0,1.0,0,Type 0
1009007,9,121.08370000000001,13.453744444444446,34.1317,9,128.5422,0.6407222222222223,7.563533333333333,9.0,5,Type 5
1009007,10,13.3652,6.6826,7.0359,2,144.5558,2.17065,-0.0478999999999985,2.0,2,Type 2
1009007,11,17.3533,8.67665,9.5389,2,111.2285,2.9071999999999996,4.299399999999999,2.0,2,Type 2
1009007,12,38.1317,38.1317,38.1317,1,244.7503,0.0,0.0,1.0,0,Type 0
1009007,13,46.88629999999999,9.377259999999998,21.0599,5,142.0597,-8.464659999999999,0.6538800000000009,5.0,4,Type 4
1009007,14,12.479,6.2395,7.2874,2,112.4843,-0.44009999999999927,-16.47005,2.0,2,Type 2
1009007,15,297.57469999999995,27.05224545454545,81.5509,11,230.3816,2.6592272727272728,21.3718,11.0,5,Type 5
1009007,16,10.5808,10.5808,10.5808,1,88.4132,0.0,0.0,1.0,0,Type 0
1009007,17,52.8144,17.6048,23.8084,3,117.4322,8.2575,11.572833333333334,3.0,4,Type 4
1009007,18,12.3353,12.3353,12.3353,1,90.9253,0.0,0.0,1.0,0,Type 0
1009007,19,185.17340000000002,15.431116666666668,47.6587,12,172.9763,2.215075,7.962075000000001,12.0,5,Type 5
1009007,20,19.2815,9.64075,14.012,2,165.0236,5.84735,6.562850000000001,2.0,2,Type 2
1009007,21,56.6767,14.169175,23.7126,4,162.1832,9.6018,10.107775,4.0,3,Type 3
1009007,22,6.2994,6.2994,6.2994,1,101.6922,0.0,0.0,1.0,0,Type 0
1009007,23,146.31150000000002,16.256833333333336,42.0659,9,123.7919,0.7884222222222221,12.400533333333332,9.0,5,Type 5
1009007,24,23.377299999999998,7.792433333333332,10.2515,3,184.8957,4.9380999999999995,1.1916,3.0,3,Type 3
1009007,25,124.72460000000001,13.85828888888889,30.3114,9,192.4922,0.12175555555555562,8.822355555555554,9.0,5,Type 5
1009007,26,203.4072,20.340719999999997,55.8204,10,205.9742,0.35329000000000016,14.030540000000002,10.0,5,Type 5
1009007,27,12.503,6.2515,6.7844,2,161.4601,2.58085,-1.4281000000000006,2.0,2,Type 2
1009007,28,152.9882,25.498033333333336,52.3054,6,233.5951,14.677633333333333,20.337316666666666,6.0,4,Type 4
1009007,29,11.2994,11.2994,11.2994,1,85.4917,0.0,0.0,1.0,0,Type 0
1009007,30,9.2695,9.2695,9.2695,1,128.4221,0.0,0.0,1.0,0,Type 0
1009007,31,9.4251,9.4251,9.4251,1,160.7536,0.0,0.0,1.0,0,Type 0
1009007,32,86.89229999999999,9.654699999999998,15.497,9,65.4285,-0.30937777777777753,2.7352000000000007,9.0,5,Type 5
1009007,33,163.0001,14.818190909090909,52.7725,11,314.9339,3.353836363636364,11.096899999999998,11.0,5,Type 5
1009007,34,192.26960000000003,16.02246666666667,39.7425,12,125.12,1.3552916666666668,8.789925000000002,12.0,5,Type 5
