district,event_index,Type 0,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6
1009007,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009007,101,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,102,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,103,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009007,104,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,105,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009007,106,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,107,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,108,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009007,109,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009007,110,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009007,111,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,112,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,113,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009007,114,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,115,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,117,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,118,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,119,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,120,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,121,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,122,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,123,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009007,124,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,125,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,126,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009007,127,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,128,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,129,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009007,130,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009007,131,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,132,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,133,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,134,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009007,135,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009007,136,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009007,137,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1009007,138,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,139,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,140,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009007,141,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,142,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,143,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,144,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,145,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,146,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,147,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,148,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,149,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,150,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,151,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,152,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,153,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1009007,154,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1009007,155,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009007,156,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009007,157,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,158,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009007,159,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009007,160,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1009007,161,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1009007,162,1.0,0.0,0.0,0.0,0.0,0.0,0.0
